full_name,class_name,section,gender,age,guidance_name,guidance_contact,disability_status
Emeka Nwachukwu,Primary 2,Primary,Male,7,Chief Nnamdi Nwachukwu,08075678901,None
Adaeze Onyema,Primary 2,Primary,Female,6,Dr Uche Onyema,08086789012,None
Chukwudi Eze,Primary 2,Primary,Male,7,Mr Jude Eze,08097890123,None
Chioma Nwosu,Primary 2,Primary,Female,7,Mrs Amaka Nwosu,08108901234,None
Ifeanyi Okoro,Primary 2,Primary,Male,6,Mr Okechukwu Okoro,08119012345,None
Amina Mohammed,Primary 2,Primary,Female,7,Alhaji Kabir Mohammed,08120123456,None
Yusuf Bello,Primary 2,Primary,Male,7,Alhaji Sani Bello,08131234567,None
Fatima Abubakar,Primary 2,Primary,Female,6,Hajia Aisha Abubakar,08142345678,None
Musa Ibrahim,Primary 2,Primary,Male,7,Alhaji Haruna Ibrahim,08153456789,None
Zainab Sani,Primary 2,Primary,Female,7,Hajia Halima Sani,08164567890,None
Abdullahi Tanko,Primary 2,Primary,Male,6,Alhaji Yusuf Tanko,08175678901,None
Aisha Musa,Primary 2,Primary,Female,7,Hajia Zainab Musa,08186789012,None
Kabiru Adamu,Primary 2,Primary,Male,7,Alhaji Bello Adamu,08197890123,None
Maryam Yusuf,Primary 2,Primary,Female,6,Hajia Fatima Yusuf,08208901234,None
Suleiman Ahmed,Primary 2,Primary,Male,7,Alhaji Musa Ahmed,08219012345,None
Khadija Haruna,Primary 2,Primary,Female,7,Hajia Amina Haruna,08220123456,None
David Johnson,Primary 3,Primary,Male,8,Mr Peter Johnson,08031234568,None
Sarah Williams,Primary 3,Primary,Female,8,Mrs Joy Williams,08042345679,None
Daniel Brown,Primary 3,Primary,Male,7,Mr Michael Brown,08053456780,None
Esther Davis,Primary 3,Primary,Female,8,Pastor Mark Davis,08064567891,None
Samuel Wilson,Primary 3,Primary,Male,8,Mr James Wilson,08075678902,None
Ruth Taylor,Primary 3,Primary,Female,7,Mrs Patience Taylor,08086789013,None
Joseph Martin,Primary 3,Primary,Male,8,Mr Andrew Martin,08097890124,None
Hannah Anderson,Primary 3,Primary,Female,8,Mrs Grace Anderson,08108901235,None
Matthew Thomas,Primary 3,Primary,Male,7,Mr Paul Thomas,08119012346,None
Amina Suleiman,Primary 3,Primary,Female,8,Hajia Maryam Suleiman,08120123457,None
Ibrahim Musa,Primary 3,Primary,Male,8,Alhaji Yusuf Musa,08131234568,None
Fatima Bello,Primary 3,Primary,Female,7,Hajia Aisha Bello,08142345679,None
Yusuf Abubakar,Primary 3,Primary,Male,8,Alhaji Kabir Abubakar,08153456780,None
Zainab Ibrahim,Primary 3,Primary,Female,8,Hajia Halima Ibrahim,08164567891,None
Abdulrahman Tanko,Primary 3,Primary,Male,7,Alhaji Sani Tanko,08175678902,None
Aisha Haruna,Primary 3,Primary,Female,8,Hajia Zainab Haruna,08186789013,None
Musa Nuhu,Primary 3,Primary,Male,8,Alhaji Bello Nuhu,08197890124,None
Maryam Ahmed,Primary 3,Primary,Female,7,Hajia Fatima Ahmed,08208901235,None
Suleiman Yusuf,Primary 3,Primary,Male,8,Alhaji Musa Yusuf,08219012346,None
Khadija Kabir,Primary 3,Primary,Female,8,Hajia Amina Kabir,08220123457,None
Oluwatobi Adebayo,Primary 4,Primary,Male,9,Mr Femi Adebayo,08031234569,None
Folakemi Ogunlesi,Primary 4,Primary,Female,9,Mrs Yemisi Ogunlesi,08042345680,None
Adetunji Oladele,Primary 4,Primary,Male,8,Chief Wale Oladele,08053456791,None
Adebimpe Adeyemi,Primary 4,Primary,Female,9,Mrs Ronke Adeyemi,08064567802,None
Olumide Ojo,Primary 4,Primary,Male,9,Mr Tunde Ojo,08075678913,None
Omolara Akinwunmi,Primary 4,Primary,Female,8,Dr Funke Akinwunmi,08086789024,None
Kayode Ogunbayo,Primary 4,Primary,Male,9,Mr Segun Ogunbayo,08097890135,None
Titilope Adesina,Primary 4,Primary,Female,9,Mrs Bisi Adesina,08108901246,None
Opeyemi Olawale,Primary 4,Primary,Male,8,Pastor Dele Olawale,08119012357,None
Amina Sani,Primary 4,Primary,Female,9,Hajia Maryam Sani,08120123468,None
Yusuf Bala,Primary 4,Primary,Male,9,Alhaji Musa Bala,08131234579,None
Fatima Tanko,Primary 4,Primary,Female,8,Hajia Aisha Tanko,08142345680,None
Musa Abubakar,Primary 4,Primary,Male,9,Alhaji Kabir Abubakar,08153456791,None
Zainab Haruna,Primary 4,Primary,Female,9,Hajia Halima Haruna,08164567802,None
Abdullahi Nuhu,Primary 4,Primary,Male,8,Alhaji Sani Nuhu,08175678913,None
Aisha Yusuf,Primary 4,Primary,Female,9,Hajia Zainab Yusuf,08186789024,None
Kabiru Musa,Primary 4,Primary,Male,9,Alhaji Bello Musa,08197890135,None
Maryam Ibrahim,Primary 4,Primary,Female,8,Hajia Fatima Ibrahim,08208901246,None
Suleiman Ahmed,Primary 4,Primary,Male,9,Alhaji Musa Ahmed,08219012357,None
Khadija Bello,Primary 4,Primary,Female,9,Hajia Amina Bello,08220123468,None
Eze Chukwuma,Primary 5,Primary,Male,10,Chief Obi Chukwuma,08031234570,None
Ngozi Okonkwo,Primary 5,Primary,Female,10,Mrs Uche Okonkwo,08042345681,None
Chikaodinaka Nwafor,Primary 5,Primary,Male,9,Mr Emeka Nwafor,08053456792,None
Amarachi Ezeogu,Primary 5,Primary,Female,10,Dr Nkechi Ezeogu,08064567803,None
Obiora Onyekwere,Primary 5,Primary,Male,10,Mr Ifeanyi Onyekwere,08075678914,None
Chidimma Okeke,Primary 5,Primary,Female,9,Mrs Amaka Okeke,08086789025,None
Ifeanyichukwu Okafor,Primary 5,Primary,Male,10,Pastor Chinedu Okafor,08097890136,None
Oluchi Nwankwo,Primary 5,Primary,Female,10,Mrs Chinwe Nwankwo,08108901247,None
Chibuike Okoro,Primary 5,Primary,Male,9,Mr Emeka Okoro,08119012358,None
Amina Kabir,Primary 5,Primary,Female,10,Hajia Maryam Kabir,08120123469,None
Yusuf Nuhu,Primary 5,Primary,Male,10,Alhaji Musa Nuhu,08131234580,None
Fatima Sani,Primary 5,Primary,Female,9,Hajia Aisha Sani,08142345691,None
Musa Tanko,Primary 5,Primary,Male,10,Alhaji Kabir Tanko,08153456702,None
Zainab Bala,Primary 5,Primary,Female,10,Hajia Halima Bala,08164567813,None
Abdullahi Haruna,Primary 5,Primary,Male,9,Alhaji Sani Haruna,08175678924,None
Aisha Abubakar,Primary 5,Primary,Female,10,Hajia Zainab Abubakar,08186789035,None
Kabiru Yusuf,Primary 5,Primary,Male,10,Alhaji Bello Yusuf,08197890146,None
Maryam Ahmed,Primary 5,Primary,Female,9,Hajia Fatima Ahmed,08208901257,None
Suleiman Musa,Primary 5,Primary,Male,10,Alhaji Musa Musa,08219012368,None
Khadija Ibrahim,Primary 5,Primary,Female,10,Hajia Amina Ibrahim,08220123479,None
