full_name,class_name,section,gender,age,guidance_name,guidance_contact,disability_status
Amarachi Ezeogu,JSS 1,Junior,Female,10,Dr Nkechi Ezeogu,08320123490,None
David Oladele,JSS 2,Junior,Male,12,Chief Wale Oladele,08031234572,None
Esther Adeyemi,JSS 2,Junior,Female,12,Mrs Ronke Adeyemi,08042345683,None
Musa Ibrahim,JSS 2,Junior,Male,11,Alhaji Yusuf Ibrahim,08053456794,None
Zainab Tanko,JSS 2,Junior,Female,12,Hajia Aisha Tanko,08064567805,None
Olumide Ogunlesi,JSS 2,Junior,Male,12,Mr Tunde Ogunlesi,08075678916,None
Omolara Akinwunmi,JSS 2,Junior,Female,11,Dr Funke Akinwunmi,08086789027,None
Abdullahi Bello,JSS 2,Junior,Male,12,Alhaji Sani Bello,08097890138,None
Amina Abubakar,JSS 2,Junior,Female,12,Hajia Halima Abubakar,08108901249,None
Kayode Ogunbayo,JSS 2,Junior,Male,11,Mr Segun Ogunbayo,08119012360,None
Titilope Adesina,JSS 2,Junior,Female,12,Mrs Bisi Adesina,08120123471,None
Yusuf Mohammed,JSS 2,Junior,Male,12,Alhaji Kabir Mohammed,08131234582,None
Fatima Nuhu,JSS 2,Junior,Female,11,Hajia Amina Nuhu,08142345693,None
Opeyemi Olawale,JSS 2,Junior,Male,12,Pastor Dele Olawale,08153456704,None
Blessing Samuel,JSS 2,Junior,Female,12,Mrs Joy Samuel,08164567815,None
Suleiman Haruna,JSS 2,Junior,Male,11,Alhaji Musa Haruna,08175678926,None
Khadija Yusuf,JSS 2,Junior,Female,12,Hajia Zainab Yusuf,08186789037,None
Chibuike Okoro,JSS 2,Junior,Male,12,Mr Emeka Okoro,08197890148,None
Mary Johnson,JSS 2,Junior,Female,11,Mrs Grace Johnson,08208901259,None
Ibrahim Ahmed,JSS 2,Junior,Male,12,Alhaji Bello Ahmed,08219012370,None
Ruth Williams,JSS 2,Junior,Female,12,Mrs Patience Williams,08220123481,None
Emmanuel Chukwu,JSS 2,Junior,Male,11,Mr Ifeanyi Chukwu,08231234592,None
Adaeze Onyekwere,JSS 2,Junior,Female,12,Dr Uche Onyekwere,08242345603,None
Kabiru Sani,JSS 2,Junior,Male,12,Alhaji Haruna Sani,08253456714,None
Halima Bala,JSS 2,Junior,Female,11,Hajia Maryam Bala,08264567825,None
Daniel Ezeogu,JSS 2,Junior,Male,12,Mr Jude Ezeogu,08275678936,None
Sarah Nwankwo,JSS 2,Junior,Female,12,Mrs Chinwe Nwankwo,08286789047,None
Musa Tanko,JSS 2,Junior,Male,11,Alhaji Yusuf Tanko,08297890158,None
Aisha Kabir,JSS 2,Junior,Female,12,Hajia Fatima Kabir,08308901269,None
Samuel Okafor,JSS 2,Junior,Male,12,Pastor Chinedu Okafor,08319012380,None
Grace Okeke,JSS 2,Junior,Female,11,Mrs Amaka Okeke,08320123491,None
Eze Chukwuma,JSS 3,Junior,Male,13,Chief Obi Chukwuma,08031234573,None
Ngozi Okonkwo,JSS 3,Junior,Female,13,Mrs Uche Okonkwo,08042345684,None
Musa Suleiman,JSS 3,Junior,Male,12,Alhaji Kabir Suleiman,08053456795,None
Zainab Mohammed,JSS 3,Junior,Female,13,Hajia Aisha Mohammed,08064567806,None
Chikaodinaka Nwafor,JSS 3,Junior,Male,13,Mr Emeka Nwafor,08075678917,None
Amarachi Ezeogu,JSS 3,Junior,Female,12,Dr Nkechi Ezeogu,08086789028,None
Abdullahi Bello,JSS 3,Junior,Male,13,Alhaji Sani Bello,08097890139,None
Amina Abubakar,JSS 3,Junior,Female,13,Hajia Halima Abubakar,08108901250,None
Obiora Onyekwere,JSS 3,Junior,Male,12,Mr Ifeanyi Onyekwere,08119012361,None
Chidimma Okeke,JSS 3,Junior,Female,13,Mrs Amaka Okeke,08120123472,None
Yusuf Tanko,JSS 3,Junior,Male,13,Alhaji Musa Tanko,08131234583,None
Fatima Ibrahim,JSS 3,Junior,Female,12,Hajia Amina Ibrahim,08142345694,None
Ifeanyichukwu Okafor,JSS 3,Junior,Male,13,Pastor Chinedu Okafor,08153456705,None
Oluchi Nwankwo,JSS 3,Junior,Female,13,Mrs Chinwe Nwankwo,08164567816,None
Suleiman Haruna,JSS 3,Junior,Male,12,Alhaji Bello Haruna,08175678927,None
Khadija Nuhu,JSS 3,Junior,Female,13,Hajia Zainab Nuhu,08186789038,None
Chibuike Okoro,JSS 3,Junior,Male,13,Mr Emeka Okoro,08197890149,None
Mary Johnson,JSS 3,Junior,Female,12,Mrs Grace Johnson,08208901260,None
Ibrahim Ahmed,JSS 3,Junior,Male,13,Alhaji Musa Ahmed,08219012371,None
Ruth Williams,JSS 3,Junior,Female,13,Mrs Patience Williams,08220123482,None
Emmanuel Chukwu,JSS 3,Junior,Male,12,Mr Jude Chukwu,08231234593,None
Adaeze Onyema,JSS 3,Junior,Female,13,Dr Uche Onyema,08242345604,None
Kabiru Sani,JSS 3,Junior,Male,13,Alhaji Haruna Sani,08253456715,None
Halima Bala,JSS 3,Junior,Female,12,Hajia Maryam Bala,08264567826,None
Daniel Ezeogu,JSS 3,Junior,Male,13,Mr Ifeanyi Ezeogu,08275678937,None
Sarah Nwosu,JSS 3,Junior,Female,13,Mrs Amaka Nwosu,08286789048,None
Musa Kabir,JSS 3,Junior,Male,12,Alhaji Yusuf Kabir,08297890159,None
Aisha Yusuf,JSS 3,Junior,Female,13,Hajia Fatima Yusuf,08308901270,None
Samuel Okafor,JSS 3,Junior,Male,13,Pastor John Okafor,08319012381,None
Grace Okeke,JSS 3,Junior,Female,12,Mrs Ngozi Okeke,08320123492,None
